zip,zone,delivery_rate,pickup_rate
48306,AHM Clarkston/Utic 1, $100.00 , $10.00 
48363,AHM Clarkston/Utic 1, $100.00 , $10.00 
48314,AHM Clarkston/Utic 1, $100.00 , $10.00 
48310,AHM Clarkston/Utic 1, $100.00 , $10.00 
48085,AHM Clarkston/Utic 1, $100.00 , $10.00 
48083,AHM Clarkston/Utic 1, $100.00 , $10.00 
48017,AHM Clarkston/Utic 1, $100.00 , $10.00 
48084,AHM Clarkston/Utic 1, $100.00 , $10.00 
48009,AHM Clarkston/Utic 1, $100.00 , $10.00 
48304,AHM Clarkston/Utic 1, $100.00 , $10.00 
48098,AHM Clarkston/Utic 1, $100.00 , $10.00 
48317,AHM Clarkston/Utic 2, $100.00 , $10.00 
48313,AHM Clarkston/Utic 2, $100.00 , $10.00 
48312,AHM Clarkston/Utic 2, $100.00 , $10.00 
48038,AHM Clarkston/Utic 2, $100.00 , $10.00 
48036,AHM Clarkston/Utic 2, $100.00 , $10.00 
48043,AHM Clarkston/Utic 2, $100.00 , $10.00 
48045,AHM Clarkston/Utic 2, $100.00 , $10.00 
48315,AHM Clarkston/Utic 2, $100.00 , $10.00 
48044,AHM Clarkston/Utic 2, $100.00 , $10.00 
48317,AHM Clarkston/Utic 3, $100.00 , $10.00 
48315,AHM Clarkston/Utic 3, $100.00 , $10.00 
48042,AHM Clarkston/Utic 3, $100.00 , $10.00 
48044,AHM Clarkston/Utic 3, $100.00 , $10.00 
48047,AHM Clarkston/Utic 3, $100.00 , $10.00 
48023,AHM Clarkston/Utic 3, $100.00 , $10.00 
48001,AHM Clarkston/Utic 3, $100.00 , $10.00 
48028,AHM Clarkston/Utic 3, $100.00 , $10.00 
48051,AHM Clarkston/Utic 3, $100.00 , $10.00 
48048,AHM Clarkston/Utic 3, $100.00 , $10.00 
48064,AHM Clarkston/Utic 3, $100.00 , $10.00 
48054,AHM Clarkston/Utic 3, $100.00 , $10.00 
48039,AHM Clarkston/Utic 3, $100.00 , $10.00 
48317,AHM Clarkston/Utic 4, $100.00 , $10.00 
48315,AHM Clarkston/Utic 4, $100.00 , $10.00 
48005,AHM Clarkston/Utic 4, $100.00 , $10.00 
48062,AHM Clarkston/Utic 4, $100.00 , $10.00 
48041,AHM Clarkston/Utic 4, $100.00 , $10.00 
48022,AHM Clarkston/Utic 4, $100.00 , $10.00 
48006,AHM Clarkston/Utic 4, $100.00 , $10.00 
48097,AHM Clarkston/Utic 4, $100.00 , $50.00 
48014,AHM Clarkston/Utic 4, $100.00 , $10.00 
48002,AHM Clarkston/Utic 4, $100.00 , $10.00 
48416,AHM Clarkston/Utic 4, $100.00 , $50.00 
48461,AHM Clarkston/Utic 4, $100.00 , $10.00 
48412,AHM Clarkston/Utic 4, $100.00 , $10.00 
48444,AHM Clarkston/Utic 4, $100.00 , $10.00 
48095,AHM Clarkston/Utic 4, $100.00 , $10.00 
48094,AHM Clarkston/Utic 4, $100.00 , $10.00 
48065,AHM Clarkston/Utic 4, $100.00 , $10.00 
48367,AHM Clarkston/Utic 4, $100.00 , $10.00 
48370,AHM Clarkston/Utic 4, $100.00 , $10.00 
48428,AHM Clarkston/Utic 4, $100.00 , $10.00 
48003,AHM Clarkston/Utic 4, $100.00 , $10.00 
